year,TEAM,GP,MIN_St,OFFRTG_St,DEFRTG_St,NETRTG_St,AST%_St,AST/TO_St,AST/RATIO_St,OREB%/St,DREB%/St,REB%/St,TOV%_St,EFG%_St,TS%_St,PACE_St,PIE_St,POSS_St,MIN_B,OFFRTG_B,DEFRTG_B,NETRTG_B,AST%_B,AST/TO_B,AST/RATIO_B,OREB%_B,DREB%_B,REB%_B,TOV%_B,EFG%_B,TS%_B,PACE_B,PIE_B,POSS_B
2003,Dallas Mavericks,82,2522,72.4,65.6,6.8,57.8,2.07,12.7,27.5,68.4,48.1,7.6,50.3,55.6,143.98,55.8,"7,563",1434,48.2,46.2,2,58.6,1.73,7.8,28.1,66.4,47.4,6,48.9,51.4,206.01,52.5,"6,152"
2003,San Antonio Spurs,82,2638,72.8,67.1,5.7,56.2,1.33,12.2,30.6,69.1,51,11.5,50.5,54.8,131.97,56.5,"7,247",1328,48.9,48.2,0.7,56.4,1.14,7.4,32.1,68,50.5,8.7,48.2,52.6,190.79,51.5,"5,284"
2003,Sacramento Kings,82,2763,78,71.6,6.3,64.8,1.84,15.8,27.5,67.9,48.8,10.7,51.1,54.8,132.97,56.6,"7,653",1203,50.6,49.4,1.2,57.6,1.41,7.3,31.9,67.6,50.5,8,47.2,50.2,187.63,51.4,"4,695"
2003,Minnesota Timberwolves,82,2668,73.5,71.1,2.4,65.3,1.95,14.7,31,70.5,51.3,9.8,49.5,53.6,135.12,53.4,"7,513",1293,47.3,47.7,-0.4,65.2,1.63,8.8,30.8,67.5,49.8,7.2,47.1,50.9,197.96,51.7,"5,334"
2003,Detroit Pistons,82,2548,68,66.2,1.7,59.2,1.45,11.3,27.8,70.9,49.3,10,47.2,52.1,132.35,51.7,"7,022",1433,55.1,51.6,3.6,61.5,1.5,9.5,32,70.4,51,8.2,47.3,52.6,164.9,54,"4,932"
2003,Los Angeles Lakers,82,2729,75.3,72.8,2.5,61.9,1.68,13.8,32.3,69.3,50.9,10.5,49.4,54.5,133.26,53,"7,584",1257,46.9,47.2,-0.3,61.4,1.45,7.5,33.9,69.2,51.1,7.4,46.9,47.3,204.72,49.5,"5,366"
2003,Portland Trail Blazers,82,2635,73.9,71.1,2.9,62.4,1.49,13.1,33,69.7,51.7,11.8,49.6,53.7,128.45,52.3,"7,054",1336,52.4,52.2,0.2,62,1.49,9.8,35.3,67.1,51,8.4,47.7,51.9,177.36,50,"4,933"
2003,New Jersey Nets,82,2684,73.8,68.1,5.7,66.1,1.64,14.7,32,71.2,51.7,11,47.7,53.2,132.13,56.3,"7,396",1267,47.5,47.6,0,62.3,1.39,7,31.1,68.3,49.5,8,44.7,48.1,188.55,50,"4,978"
2003,Indiana Pacers,82,2673,73.8,70.2,3.6,66.9,1.62,14,31.3,69.5,50.8,11.1,47.5,53.9,131.97,54.8,"7,353",1308,45.6,45.4,0.3,62.8,1.49,7.7,32.8,69,51,7.1,45.8,48.2,202.16,51.5,"5,507"
2003,Philadelphia 76ers,82,2797,73.4,71.7,1.7,60.2,1.5,14,32.1,70.8,50.9,11.2,46.9,52.1,130.64,51.4,"7,606",1174,42.3,40.9,1.4,57.8,1.38,5.1,33.3,69.4,50.8,6.4,46.1,51.7,228.06,52,"5,568"
2003,New Orleans Hornets,82,2849,76.2,74.1,2.2,62.3,1.57,13.9,34.8,69.9,52,11.5,47.4,52.5,124.22,52,"7,370",1132,42.5,42,0.5,61.1,1.31,6.7,33.7,69.2,51.2,7.5,44.4,47.2,207.87,50.6,"4,896"
2003,Utah Jazz,82,2444,69.8,66.6,3.2,74.5,1.66,14.5,35.6,67.9,52.5,11.8,49.6,55.2,137.51,57,"7,001",1512,51.3,51.8,-0.5,69.4,1.33,10,34.8,66.3,50.9,9.8,46.9,51.1,177.85,51.9,"5,604"
2003,Boston Celtics,82,2709,71.2,70.3,0.9,58.8,1.45,12.5,26.8,69.9,47.9,10.3,47.8,51.8,131.93,49.2,"7,451",1257,41.9,44,-2.1,57.3,1.23,5.8,26.3,67.4,46.4,6.9,45.3,50.3,208.67,45.2,"5,470"
2003,Phoenix Suns,82,2742,72.3,72.2,0.1,57.3,1.43,13.2,31.9,67.4,49.5,11.2,47.6,52.2,131.97,48.9,"7,531",1219,43.3,41.4,1.9,56.9,1.41,5.9,33.2,66.7,49.8,6.6,46.6,48.9,217.3,51.9,"5,510"
2003,Houston Rockets,82,2729,72.3,70.6,1.7,52.4,1.21,11.8,32.2,70.5,51.7,11.6,47.6,52.8,129.58,51.5,"7,373",1257,48.4,48.8,-0.4,54.3,1.13,6,35.2,68.5,52.1,8.6,46.9,50.8,185.9,50.2,"4,874"
2003,Milwaukee Bucks,82,2527,68.5,69.5,-1,58.8,1.77,12.6,27.8,67.5,47.6,8.6,49.9,54,143.82,48.1,"7,566",1454,51.6,49.6,1.9,61.8,1.71,8.2,30.3,65.2,48,6.8,50.3,54.9,190.63,52.2,"5,766"
2003,Orlando Magic,82,2534,72.1,70.4,1.7,57,1.52,12.1,28.7,68.8,48.4,9.9,49.4,54.1,139.68,49.4,"7,375",1427,47.8,49.8,-2,56.6,1.26,7.3,32.2,66.5,48.6,7.7,44.9,48.8,194.19,45.9,"5,777"
2003,Seattle SuperSonics,82,2657,69.7,70,-0.3,61.9,1.7,13.5,31.5,69.4,49.8,9.7,47.4,52.3,132.45,49.7,"7,333",1314,44.8,44.7,0.1,60.6,1.51,6.7,31.2,67.6,49.5,6.8,46.8,48.6,199.09,51.4,"5,454"
2003,Golden State Warriors,82,2675,74,75.8,-1.8,54.8,1.31,10.5,36.9,66.6,51.7,11.3,47,53.1,138.32,48,"7,715",1276,49.6,48.9,0.6,58.5,1.34,9,37.6,65.4,51.8,7.8,47.5,51.1,204.34,51.9,"5,434"
2003,New York Knicks,82,2685,72.5,73.2,-0.7,60.3,1.64,13.1,27,69,47.5,10.2,49,53.4,132.05,47.3,"7,380",1286,49.8,50.6,-0.8,61.5,1.44,8.5,30.1,68.7,49.1,7.9,47.8,51.4,188.41,47.7,"5,037"
2003,Washington Wizards,82,2679,69.3,70,-0.7,58.8,1.53,12.6,29.6,68.8,49.4,10.1,46.4,51.7,131.27,50,"7,326",1287,46.6,47.1,-0.5,53.9,1.35,6.3,32.2,68,49.9,6.8,45.2,50.3,194.36,49.3,"5,208"
2003,Atlanta Hawks,82,2873,75,76.9,-1.9,59.4,1.28,13.6,28.7,68.5,49.7,13,48.3,53.9,125.63,49.3,"7,523",1108,41.8,45,-3.1,57,1.11,5.5,33.2,67,50.4,7.9,45.6,48.6,214.32,45.3,"4,946"
2003,Chicago Bulls,82,2470,66.5,71.3,-4.7,60.5,1.31,12.5,29.6,66.6,48.5,11.9,47.9,51.6,142.05,44.8,"7,300",1516,51.6,52.6,-1,58.1,1.25,8.2,32.6,68.2,50.4,9.1,45.9,50.5,180.1,47.3,"5,680"
2003,Memphis Grizzlies,82,2605,76.7,78.5,-1.8,61.1,1.58,13.8,29.6,66,48.1,11.3,49.8,54.2,129.64,48.6,"7,034",1381,52.9,55.7,-2.8,64.1,1.37,9.8,31.1,65.7,48.2,9.5,46.4,49.4,170.53,47.2,"4,908"
2003,Los Angeles Clippers,82,2701,72,76,-4,57.4,1.24,12.8,30.9,68.2,49.7,12.3,46.3,51.7,129.87,46.3,"7,293",1250,49,49.2,-0.2,54.9,1.25,6.2,32.9,65.3,49.2,7.9,47.5,51.4,191.97,48.6,"4,987"
2003,Miami Heat,82,2610,65.8,70.6,-4.9,55.9,1.31,10.8,29.7,71.7,50,10.9,44.6,49.9,130.21,44.9,"7,086",1356,45.9,47.3,-1.5,55.8,1.25,7.7,32.4,69.5,50.4,7.7,42.6,45.3,181.93,47.2,"5,138"
2003,Toronto Raptors,82,2788,72,75.4,-3.4,56.5,1.46,11.5,31.6,68.2,49.2,10.7,46.2,50.1,127.17,46.1,"7,384",1173,40.6,44.9,-4.3,53.4,1.09,7,32.4,66.8,48.9,7.4,44.8,48.9,215.36,41.2,"5,265"
2003,Cleveland Cavaliers,82,2593,63.8,70.9,-7,61,1.16,11.9,33.4,70.3,51.4,12.8,44.3,49.8,142.43,42.9,"7,686",1373,45.4,49.3,-3.9,58.4,1.11,7,34.5,68.6,51.1,9,44.6,47.5,199.88,43.5,"5,706"
2003,Denver Nuggets,82,2352,60.2,66.1,-5.9,65.9,1.26,12.2,33.6,71,51.2,12.4,43.9,47.9,141.21,42.9,"6,919",1594,46.2,50.7,-4.5,62.6,1,8,35.8,67.9,50.9,11,41.3,45.4,178.24,41.9,"5,919"
2004,Indiana Pacers,82,2490,70.7,64,6.6,65.7,1.67,12.8,32,71.6,51.5,10.3,47.7,52,131.88,56.2,"6,852",1471,51.7,51.8,-0.1,62.1,1.24,9.3,32,69,50.4,9.2,46,51.9,167.12,49.6,"5,128"
2004,Minnesota Timberwolves,82,2652,72.7,67.2,5.4,62.5,1.92,15.3,29.3,69.5,50.6,9.4,49.6,53.3,131.81,56.9,"7,296",1299,44.8,44.2,0.6,61.9,1.6,6.1,32.1,68.5,50.9,6.6,46.7,51.5,201.88,52.1,"5,467"
2004,San Antonio Spurs,82,2659,70.1,64,6.1,58.3,1.41,12.3,31.2,71.8,51.9,11.1,47.9,51.5,130.23,56.9,"7,212",1292,45.9,43.2,2.7,60.5,1.36,7.6,33.1,69.3,51.2,7.6,46.2,50.1,197.5,55.9,"5,328"
2004,Los Angeles Lakers,82,2658,73.7,69.8,3.9,65.1,1.78,14.3,31.2,70.7,51.1,10.2,48.9,53.7,134.57,54.9,"7,457",1313,48.1,47.7,0.4,62.7,1.61,7.8,31.7,68.8,49.6,7,46.5,48.2,193.94,51.2,"5,306"
2004,Sacramento Kings,82,2896,83.4,78.1,5.3,71.1,2.01,17.1,27.8,68.3,48.7,10.8,52.1,56.4,125.54,55.4,"7,570",1060,44.8,44.2,0.5,64.2,1.58,6.7,32.7,65.9,49.2,6.7,47,52.4,214.84,51.1,"4,737"
2004,Detroit Pistons,82,2699,72,66.4,5.6,61.5,1.42,12.8,32.5,69.4,51.2,11.6,46.4,51.3,126.22,56.4,"7,098",1257,45.1,43.5,1.6,63,1.27,7.7,34.8,66.9,51.2,8.3,45.7,50.6,192.82,54.3,"5,050"
2004,Dallas Mavericks,82,2702,77.3,74.3,3,59.6,2,15.7,32.3,69,50.3,8.9,50,53.7,136.11,52.3,"7,667",1259,44.3,42.3,2,57.9,1.88,4.4,36.2,67.7,51.5,5.2,48.3,53.4,232.14,53.4,"6,097"
2004,Memphis Grizzlies,82,2329,71,69.3,1.7,64.5,1.64,14,31.6,66.4,48.8,10.4,49.1,53.9,138.19,51.7,"6,706",1647,55.9,54.5,1.4,64.8,1.45,9,33.7,64.2,48.9,9.3,46.1,49.5,165.09,53,"5,671"
2004,New Jersey Nets,82,2842,75.9,71.8,4.1,71.9,1.77,16.3,28.6,71.7,50.4,11.8,47.8,52.9,121.36,55.2,"7,189",1099,43.1,45.2,-2.2,70,1.42,7.7,29.6,69.5,49.4,8,45.3,47.3,196.8,47.6,"4,509"
2004,Houston Rockets,82,2921,75.3,73.3,1.9,57.5,1.16,12.9,30.3,71,51.7,13.9,48.7,53.6,119.28,51.6,"7,258",1064,37,36.9,0,58.1,1.11,5.6,30.8,70.4,51.4,7.1,47.4,50.2,231.63,50.3,"5,139"
