PF,S_AST,S_TOV,S_BLK,game_count,FG_PCT_O,REB_O,PF_O,PTS_S_O,O_FGA_S_O,O_TRB_S_O,O_WIN_PCT,avg_conf_rank_ratio,matchtup_rank,wins_rank,PC4,game_series_away_D,conf_rank_wins_in_row_B,matchup_wins,stage,PC2,opp_game_vs_season,game_vs_opp_season,matchup_REB_r_s,MCA_0
25.0,25.194444444444443,15.791666666666666,5.791666666666667,17,0.389,53.0,24.0,90.1,77.3,39.9,0.549,0.9285889269965703,594.5840000000001,62.4863156129983,1.0566320039856947,0,1,4.0,4,7.811034196597242,7,13,34.0,0.5185037740757835
15.0,25.58333333333333,15.944444444444445,5.180555555555555,4,0.57,37.0,27.0,100.4,83.7,42.7,0.537,1.1485977502926656,136.81088596491227,59.89087296526011,5.682926026389806,0,0,0.8157894736842105,1,-2.7458382217209274,8,4,39.66666666666666,-0.07004026379760941
25.0,27.08333333333333,18.18055555555556,6.472222222222222,8,0.477,54.0,25.0,106.9,75.5,37.0,0.817,1.6623207301173402,274.5915,43.8492424049175,-0.7145126697482319,1,0,2.0,2,-6.021785012963851,6,10,39.5,-0.32386589521117526
21.0,25.84722222222222,14.76388888888889,4.930555555555555,3,0.472,46.0,17.0,97.5,80.7,39.2,0.707,0.6677504463928791,148.93757812500002,48.49654339337832,2.313679191006671,0,0,0.984375,1,-6.643565545526511,10,7,40.333333333333336,-0.757102781972717
28.0,26.52777777777778,16.805555555555557,6.152777777777778,2,0.436,39.0,27.0,93.3,78.7,45.0,0.537,0.795505617977528,98.66265873015873,54.71281292110204,0.4358558923018475,0,0,0.4841269841269841,1,-1.8679240000738724,9,6,51.25,-0.39537558493786695
26.0,26.63888888888889,14.23611111111111,4.513888888888889,9,0.645,34.0,28.0,104.7,88.3,44.5,0.598,0.6220419202163624,364.017105263158,54.0,4.914476139507518,0,0,2.0526315789473686,2,-3.7442962352136537,8,9,41.333333333333336,-0.21375462833922002
22.0,22.93055555555556,17.180555555555557,6.194444444444445,17,0.544,29.0,24.0,92.3,79.0,40.3,0.463,0.7918386535658878,209.27560344827586,79.0,3.757385280920542,0,0,1.2155172413793103,3,0.2933408656426223,10,4,36.0,0.3573851971384452
21.0,31.22222222222222,16.458333333333332,6.888888888888889,20,0.33,49.0,19.0,99.9,83.5,41.1,0.549,0.8281604231890316,493.52654545454544,105.0,-0.7908046574393695,0,0,2.909090909090909,4,11.020125592344574,11,14,44.0,1.2990355024487905
19.0,25.444444444444443,18.194444444444443,6.180555555555555,3,0.466,30.0,14.0,93.8,79.5,41.3,0.537,0.6736502495336997,201.63433750000002,61.91346617949794,-4.418167047434485,0,0,1.20625,1,1.9935242189128137,15,9,41.5,-0.3853021462520918
24.0,24.694444444444443,14.291666666666666,6.083333333333333,4,0.342,53.0,20.0,100.7,84.3,41.3,0.585,0.4457347792673555,69.33066477272727,52.59591794226543,-3.3607379381390508,0,1,0.4772727272727273,1,-2.3203724493463427,10,8,35.0,-0.6038819203046419
20.0,20.625,13.84722222222222,4.875,10,0.42,36.0,19.0,95.9,85.3,41.3,0.576,1.2785459411239966,125.71574431818182,54.671361036774655,-0.5116747230571296,0,0,0.7045454545454546,2,-3.032410754332305,11,4,42.5,-0.24870169825226773
20.666666666666668,24.65277777777778,15.208333333333334,5.361111111111111,1,0.5036666666666667,39.333333333333336,23.0,106.8,86.8,42.7,0.708,0.9072781655034896,149.04052604166665,63.0,0.4378871073465437,0,1,1.1770833333333333,1,-3.9190487971180654,6,5,37.0,-0.21008825919210955
17.0,29.59722222222222,15.02777777777778,7.402777777777778,12,0.45,37.0,23.0,109.9,86.6,42.6,0.561,0.5519150459372391,247.17000000000002,79.59797974644667,-7.088578128279962,0,0,1.5,2,3.875201615967343,9,13,42.75,0.3204590248575657
21.0,22.875,16.069444444444443,5.763888888888889,2,0.487,35.0,21.0,97.3,82.7,42.1,0.72,0.9945859872611466,75.09666666666666,52.738179909018385,-4.11845043475782,1,1,0.5,1,-5.878366328247086,13,8,45.66666666666666,-0.7475089224430715
18.0,33.97222222222222,18.55555555555556,4.486111111111111,13,0.483,38.0,17.0,117.1,93.9,44.9,0.585,0.934065934065934,149.981,56.96292478040998,-4.295381328221784,0,1,1.0,2,-1.265936734595073,10,14,43.333333333333336,0.08385237878367807
21.0,29.47222222222222,16.51388888888889,5.472222222222222,3,0.414,43.0,20.0,102.9,81.9,42.2,0.512,1.102197802197802,127.66298263888889,86.1335136523794,-5.140172559380728,0,1,0.8402777777777777,1,7.697363117682585,10,17,43.25,0.4667803112355067
24.0,28.20833333333333,14.055555555555555,5.680555555555555,5,0.44,44.0,24.0,100.1,83.7,42.1,0.671,0.7241079199303743,123.66131250000001,67.33161507461904,-1.4555743379441386,1,0,0.75,1,3.3077054793253295,7,11,43.75,-0.25223504767715005
23.75,26.15277777777778,18.125,6.763888888888889,1,0.44675,38.0,18.25,102.9,85.0,45.8,0.512,1.1407867494824016,234.10258928571432,79.75426480542941,-1.646994523221797,0,0,1.4732142857142858,1,4.733178881152582,13,14,39.25,-0.014239528641838254
21.0,24.59722222222222,15.63888888888889,7.541666666666667,3,0.36,39.0,26.0,88.4,80.6,41.7,0.598,1.3247377622377623,103.39843137254901,76.7193000900063,-3.4926411997345235,0,0,0.6274509803921569,1,6.333669241778678,10,13,42.5,0.2196701248460702
26.0,28.11111111111111,17.73611111111111,4.708333333333333,16,0.438,27.0,30.0,98.6,78.8,39.1,0.634,0.5365079365079365,158.25989583333336,67.5,-5.847859421163293,0,0,1.0416666666666667,3,1.3450772994395914,14,11,43.25,0.0743751960063968
19.0,24.541666666666668,15.76388888888889,5.444444444444445,14,0.522,49.0,16.0,103.9,90.0,42.5,0.573,0.6998071359691417,218.16073369565217,78.0,11.000977199721742,0,0,1.6304347826086956,3,0.3707483521220146,4,2,37.5,0.4493638768955467
